"","ex.sp","genus","family"
"3423","Cercidiphyllum japonicum","Cercidiphyllum","Piperaceae"
"3424","Cercidium andicola","Cercidium","Apocynaceae"
"3425","Cercis canadensis","Cercis","Fabaceae"
"3426","Cercocarpus alnifolius","Cercocarpus","Rosaceae"
"3427","Cercouratea cassinifolia","Cercouratea","Ochnaceae"
"3428","Cerdana exaltata","Cerdana","Cactaceae"
"3429","Cerdia congestiflora","Cerdia","Caryophyllaceae"
"3430","Cerefolium sylvestre","Cerefolium","Ranunculaceae"
"3431","Cereus aethiops","Cereus","Orchidaceae"
"3432","Cerinthe aspera","Cerinthe","Boraginaceae"
"3433","Cerinthodes maritimum","Cerinthodes","Ericaceae"
"3434","Ceriops australis","Ceriops","Rhizophoraceae"
"3435","Ceriscoides campanulata","Ceriscoides","Rubiaceae"
"3436","Cerochlamys gemina","Cerochlamys","Aizoaceae"
"3437","Ceropegia abyssinica","Ceropegia","Apocynaceae"
"3438","Ceropteris guianensis","Ceropteris","Cyatheaceae"
"3439","Cerosora microphylla","Cerosora","Pteridaceae"
"3440","Cerothamnus pumilus","Cerothamnus","Myricaceae"
"3441","Ceroxylon alpinum","Ceroxylon","Arecaceae"
"3442","Ceruana pratensis","Ceruana","Asteraceae"
"3443","Cervantesia bicolor","Cervantesia","Santalaceae"
"3444","Cervaria aegopodioides","Cervaria","Caryophyllaceae"
"3445","Cesius adustus","Cesius",NA
"3446","Cespedesia bonplandii","Cespedesia","Ochnaceae"
"3447","Cespedezia macrophylla","Cespedezia",NA
"3448","Cestichis alpina","Cestichis","Orchidaceae"
"3449","Cestrum abeggii","Cestrum","Solanaceae"
"3450","Ceterach aurea","Ceterach","Myricaceae"
"3451","Ceterachopsis magnifica","Ceterachopsis","Aspleniaceae"
"3452","Cetraria aculeata","Cetraria",NA
"3453","Cetrariella delisei","Cetrariella",NA
"3454","Ceuthocarpus involucratus","Ceuthocarpus","Rubiaceae"
"3455","Ceuthostoma terminale","Ceuthostoma","Casuarinaceae"
"3456","Cevallia sinuata","Cevallia","Loasaceae"
"3457","Chacoa pseudoprasiifolia","Chacoa","Asteraceae"
"3458","Chadsia coluteifolia","Chadsia","Fabaceae"
"3459","Chaenactis alpigena","Chaenactis","Asteraceae"
"3460","Chaenarrhinum crassifolium","Chaenarrhinum",NA
"3461","Chaenesthes umbrosa","Chaenesthes","Solanaceae"
"3462","Chaenocephalus rupestris","Chaenocephalus","Asteraceae"
"3463","Chaenomeles cathayensis","Chaenomeles","Rosaceae"
"3464","Chaenorhinum burnatii","Chaenorhinum","Plantaginaceae"
"3465","Chaenorrhinum minus","Chaenorrhinum",NA
"3466","Chaenostoma aethiopicum","Chaenostoma","Scrophulariaceae"
"3467","Chaenothecopsis epithallina","Chaenothecopsis",NA
"3468","Chaerefolium nitidum","Chaerefolium","Apiaceae"
"3469","Chaerophyllum acuminatum","Chaerophyllum","Pteridaceae"
"3470","Chaetacanthus burchellii","Chaetacanthus","Acanthaceae"
"3471","Chaetachme aristata","Chaetachme","Cannabaceae"
"3472","Chaetacme madagascariensis","Chaetacme",NA
"3473","Chaetadelpha wheeleri","Chaetadelpha","Asteraceae"
"3474","Chaetanthera acerosa","Chaetanthera","Asteraceae"
"3475","Chaetanthus aristatus","Chaetanthus","Restionaceae"
"3476","Chaetaria forskolii","Chaetaria","Cyperaceae"
"3477","Chaetium bromoides","Chaetium","Poaceae"
"3478","Chaetobromus dregeanus","Chaetobromus","Poaceae"
"3479","Chaetocalyx acutifolia","Chaetocalyx","Oxalidaceae"
"3480","Chaetocarpus acutifolius","Chaetocarpus","Sapotaceae"
"3481","Chaetochlamys callichlamys","Chaetochlamys","Arecaceae"
"3482","Chaetocolea palmata","Chaetocolea",NA
"3483","Chaetogastra cardinalis","Chaetogastra","Melastomataceae"
"3484","Chaetolepis alpina","Chaetolepis","Asteraceae"
"3485","Chaetolimon sogdianum","Chaetolimon","Plumbaginaceae"
"3486","Chaetomitriopsis glaucocarpa","Chaetomitriopsis",NA
"3487","Chaetomitrium auriculatum","Chaetomitrium",NA
"3488","Chaetonychia cymosa","Chaetonychia","Caryophyllaceae"
"3489","Chaetopappa asteroides","Chaetopappa","Asteraceae"
"3490","Chaetophora incurva","Chaetophora","Convolvulaceae"
"3491","Chaetophyllopsis whiteleggei","Chaetophyllopsis",NA
"3492","Chaetopogon creticus","Chaetopogon","Poaceae"
"3493","Chaetosciadium trichospermum","Chaetosciadium","Apiaceae"
"3494","Chaetoseris ciliata","Chaetoseris","Asteraceae"
"3495","Chaetospora dactyloides","Chaetospora","Cyperaceae"
"3496","Chaetostoma acuminatum","Chaetostoma","Orchidaceae"
"3497","Chaetothylax hatschbachii","Chaetothylax","Acanthaceae"
"3498","Chaetymenia peduncularis","Chaetymenia","Asteraceae"
"3499","Chaiturus marrubiastrum","Chaiturus","Lamiaceae"
"3500","Chalarothyrsus amplexicaulis","Chalarothyrsus","Acanthaceae"
"3501","Chalcanthus renifolius","Chalcanthus","Brassicaceae"
"3502","Chalema synanthera","Chalema","Cucurbitaceae"
"3503","Chalepophyllum guianense","Chalepophyllum","Rubiaceae"
"3504","Chalybea corymbifera","Chalybea","Asteraceae"
"3505","Chamabainia cuspidata","Chamabainia","Urticaceae"
"3506","Chamaeangis ichneumonea","Chamaeangis","Orchidaceae"
"3507","Chamaeanthus aymardii","Chamaeanthus","Commelinaceae"
"3508","Chamaebatia australis","Chamaebatia","Rosaceae"
"3509","Chamaebatiaria millefolium","Chamaebatiaria","Rosaceae"
"3510","Chamaebryum pottioides","Chamaebryum",NA
"3511","Chamaechaenactis scaposa","Chamaechaenactis","Asteraceae"
"3512","Chamaeclitandra hendriquesiana","Chamaeclitandra","Apocynaceae"
"3513","Chamaecostus congestiflorus","Chamaecostus","Costaceae"
"3514","Chamaecrista absus","Chamaecrista","Oxalidaceae"
"3515","Chamaecrypta diasciifolia","Chamaecrypta","Scrophulariaceae"
"3516","Chamaecyparis formosensis","Chamaecyparis","Cyperaceae"
"3517","Chamaecytisus aggregatus","Chamaecytisus","Fabaceae"
"3518","Chamaedaphne calyculata","Chamaedaphne","Rubiaceae"
"3519","Chamaedorea adscendens","Chamaedorea","Arecaceae"
"3520","Chamaedrys marum","Chamaedrys","Fabaceae"
"3521","Chamaegastrodia inverta","Chamaegastrodia","Orchidaceae"
"3522","Chamaegeron keredjensis","Chamaegeron","Rosaceae"
"3523","Chamaejasme formosana","Chamaejasme","Asteraceae"
"3524","Chamaele decumbens","Chamaele","Apiaceae"
"3525","Chamaelirium luteum","Chamaelirium","Melanthiaceae"
"3526","Chamaemeles coriacea","Chamaemeles","Rosaceae"
"3527","Chamaemelum fuscatum","Chamaemelum","Asteraceae"
"3528","Chamaemespilus alpina","Chamaemespilus","Rosaceae"
"3529","Chamaenerion dodonaei","Chamaenerion","Onagraceae"
"3530","Chamaepentas greenwayi","Chamaepentas","Rubiaceae"
"3531","Chamaepericlymenum unalaschkense","Chamaepericlymenum","Cornaceae"
"3532","Chamaepitys chia","Chamaepitys","Ericaceae"
"3533","Chamaepus afghanicus","Chamaepus","Asteraceae"
"3534","Chamaeranthemum beyrichii","Chamaeranthemum","Acanthaceae"
"3535","Chamaeraphis depauperata","Chamaeraphis","Poaceae"
"3536","Chamaerhodos canescens","Chamaerhodos","Rosaceae"
"3537","Chamaerion angustifolium","Chamaerion",NA
"3538","Chamaerops humilis","Chamaerops","Arecaceae"
"3539","Chamaesaracha arida","Chamaesaracha","Solanaceae"
"3540","Chamaesciadium acaule","Chamaesciadium","Apiaceae"
"3541","Chamaescilla corymbosa","Chamaescilla","Asphodelaceae"
"3542","Chamaesium delavayi","Chamaesium","Apiaceae"
"3543","Chamaespartium sagittale","Chamaespartium","Fabaceae"
"3544","Chamaesphacos ilicifolius","Chamaesphacos","Lamiaceae"
"3545","Chamaesyce abramsiana","Chamaesyce","Araceae"
"3546","Chamaexeros fimbriata","Chamaexeros","Asparagaceae"
"3547","Chamarea capensis","Chamarea","Apiaceae"
"3548","Chamberlainia acuminata","Chamberlainia",NA
"3549","Chambeyronia lepidota","Chambeyronia","Arecaceae"
"3550","Chamelaucium affine","Chamelaucium","Myrtaceae"
"3551","Chameleion cryptocarpus","Chameleion",NA
"3552","Chamerion angustifolium","Chamerion","Onagraceae"
"3553","Chamguava gentlei","Chamguava","Myrtaceae"
"3554","Chamira circaeoides","Chamira","Brassicaceae"
"3555","Chamissoa acuminata","Chamissoa","Amaranthaceae"
"3556","Chamomilla aurea","Chamomilla","Asteraceae"
"3557","chamomilla chamomilla","chamomilla","Asteraceae"
"3558","Chamorchis alpina","Chamorchis","Orchidaceae"
"3559","Champereia manillana","Champereia","Opiliaceae"
"3560","Championia reticulata","Championia","Gesneriaceae"
"3561","Chandonanthus filiformis","Chandonanthus",NA
"3562","Changium smyrnioides","Changium","Apiaceae"
"3563","Changnienia amoena","Changnienia","Orchidaceae"
"3564","Chapelieria madagascariensis","Chapelieria","Rubiaceae"
"3565","Chapmannia floridana","Chapmannia","Fabaceae"
"3566","Chaptalia albicans","Chaptalia","Rosaceae"
"3567","Charadranaetes durandii","Charadranaetes","Asteraceae"
"3568","Charadrophila capensis","Charadrophila","Acanthaceae"
"3569","Chardinia orientalis","Chardinia","Asteraceae"
"3570","Charianthus alpinus","Charianthus","Lamiaceae"
"3571","Charpentiera australis","Charpentiera","Rubiaceae"
"3572","Chartolepis glastifolia","Chartolepis","Asteraceae"
"3573","Chartoloma platycarpum","Chartoloma","Brassicaceae"
"3574","Charybdis maritima","Charybdis","Asparagaceae"
"3575","Chasalia cristata","Chasalia",NA
"3576","Chascanum adenostachyum","Chascanum","Acanthaceae"
"3577","Chascolytrum ambiguum","Chascolytrum","Poaceae"
"3578","Chascotheca domingensis","Chascotheca","Phyllanthaceae"
"3579","Chasechloa egregia","Chasechloa","Poaceae"
"3580","Chasmanthe bicolor","Chasmanthe","Iridaceae"
"3581","Chasmanthera dependens","Chasmanthera","Menispermaceae"
"3582","Chasmanthium curvifolium","Chasmanthium","Poaceae"
"3583","Chasmatophyllum maninum","Chasmatophyllum","Aizoaceae"
"3584","Chasmone argentea","Chasmone","Fabaceae"
"3585","Chasmopodium afzelii","Chasmopodium","Poaceae"
"3586","Chassalia acutiflora","Chassalia","Rubiaceae"
"3587","Chaubardia heteroclita","Chaubardia","Orchidaceae"
"3588","Chaubardiella dalessandroi","Chaubardiella","Orchidaceae"
"3589","Chauliodon deflexicalcarata","Chauliodon","Asteraceae"
"3590","Chaunanthus gracielae","Chaunanthus","Brassicaceae"
"3591","Chaunochiton angustifolium","Chaunochiton","Olacaceae"
"3592","Chaunostoma mecistandrum","Chaunostoma","Lamiaceae"
"3593","Chautemsia calcicola","Chautemsia","Gesneriaceae"
"3594","Chavannesia imberbis","Chavannesia","Apocynaceae"
"3595","Chazaliella abrupta","Chazaliella","Rubiaceae"
"3596","Cheesemania latesiliqua","Cheesemania","Brassicaceae"
"3597","Cheilanthes acrostica","Cheilanthes","Pteridaceae"
"3598","Cheilanthopsis elongata","Cheilanthopsis","Aspleniaceae"
"3599","Cheiloclinium anomalum","Cheiloclinium","Celastraceae"
"3600","Cheilocostus globosus","Cheilocostus","Costaceae"
"3601","Cheilolejeunea acanthina","Cheilolejeunea",NA
"3602","Cheilophyllum radicans","Cheilophyllum","Plantaginaceae"
"3603","Cheiloplecton rigidum","Cheiloplecton","Pteridaceae"
"3604","Cheilosa malayana","Cheilosa","Euphorbiaceae"
"3605","Cheilosoria chusana","Cheilosoria","Pteridaceae"
"3606","Cheilothela chilensis","Cheilothela",NA
"3607","Cheiradenia cuspidata","Cheiradenia","Euphorbiaceae"
"3608","Cheiranthera alternifolia","Cheiranthera","Malvaceae"
"3609","Cheiridopsis acuminata","Cheiridopsis","Aizoaceae"
"3610","Cheirodendron bastardianum","Cheirodendron","Araliaceae"
"3611","Cheiroglossa palmata","Cheiroglossa","Ophioglossaceae"
"3612","Cheirolaena linearis","Cheirolaena","Malvaceae"
"3613","Cheirolepis persica","Cheirolepis","Euphorbiaceae"
"3614","Cheirolophus arboreus","Cheirolophus","Asteraceae"
"3615","Cheiropleuria bicuspis","Cheiropleuria","Polypodiaceae"
"3616","Cheirostylis bidentata","Cheirostylis","Orchidaceae"
"3617","Chelidonium asiaticum","Chelidonium","Geraniaceae"
"3618","Chelonanthera gibbosa","Chelonanthera","Orchidaceae"
"3619","Chelonanthus acutangulus","Chelonanthus","Gentianaceae"
"3620","Chelone angustifolia","Chelone","Plantaginaceae"
"3621","Chelonistele amplissima","Chelonistele","Orchidaceae"
"3622","Chelonopsis abbreviata","Chelonopsis","Lamiaceae"
"3623","Chelyocarpus chuco","Chelyocarpus","Arecaceae"
"3624","Chelyorchis ampliata","Chelyorchis","Orchidaceae"
"3625","Chengiopanax fargesii","Chengiopanax","Araliaceae"
"3626","Chenia leptophylla","Chenia",NA
"3627","Chenolea arabica","Chenolea","Amaranthaceae"
"3628","Chenoleoides tomentosa","Chenoleoides","Amaranthaceae"
"3629","Chenopodiastrum badachschanicum","Chenopodiastrum","Amaranthaceae"
"3630","Chenopodiopsis chenopodioides","Chenopodiopsis","Scrophulariaceae"
"3631","Chenopodium acerifolium","Chenopodium","Solanaceae"
"3632","Cherleria imbricata","Cherleria","Caryophyllaceae"
"3633","Chersodoma antennaria","Chersodoma","Asteraceae"
"3634","Chesneya astragalina","Chesneya","Apiaceae"
"3635","Chevaliera sphaerocephala","Chevaliera","Bromeliaceae"
"3636","Chevalierella dewildemanii","Chevalierella","Poaceae"
"3637","Chevreulia acuminata","Chevreulia","Asteraceae"
"3638","Cheyniana microphylla","Cheyniana","Myrtaceae"
"3639","Chiangiodendron mexicanum","Chiangiodendron","Achariaceae"
"3640","Chiastocaulon dendroides","Chiastocaulon",NA
"3641","Chiastophyllum oppositifolium","Chiastophyllum","Crassulaceae"
"3642","Chichicaste grandis","Chichicaste","Loasaceae"
"3643","Chidlowia sanguinea","Chidlowia","Fabaceae"
"3644","Chieniodendron hainanense","Chieniodendron","Annonaceae"
"3645","Chieniopteris harlandii","Chieniopteris","Aspleniaceae"
"3646","Chikusichloa brachyathera","Chikusichloa","Poaceae"
"3647","Chilenia occulta","Chilenia","Cactaceae"
"3648","Chileobryon callicostelloides","Chileobryon",NA
"3649","Chileranthemum lottiae","Chileranthemum","Acanthaceae"
"3650","Chiliadenus antiatlanticus","Chiliadenus","Rosaceae"
"3651","Chiliocephalum schimperi","Chiliocephalum","Asteraceae"
"3652","Chiliophyllum densifolium","Chiliophyllum","Asteraceae"
"3653","Chiliotrichiopsis keidelii","Chiliotrichiopsis","Asteraceae"
"3654","Chiliotrichum diffusum","Chiliotrichum","Asteraceae"
"3655","Chilocardamum castellanosii","Chilocardamum","Brassicaceae"
"3656","Chilocarpus beccarianus","Chilocarpus","Apocynaceae"
"3657","Chiloglottis anaticeps","Chiloglottis","Orchidaceae"
"3658","Chilopogon distichum","Chilopogon","Orchidaceae"
"3659","Chilopsis linearis","Chilopsis","Orchidaceae"
"3660","Chiloschista lunifera","Chiloschista","Orchidaceae"
"3661","Chiloscyphus aberrans","Chiloscyphus",NA
"3662","Chiloterus cucullatus","Chiloterus","Orchidaceae"
"3663","Chimantaea acopanensis","Chimantaea","Asteraceae"
"3664","Chimaphila japonica","Chimaphila","Cyperaceae"
"3665","Chimarrhis barbata","Chimarrhis","Rubiaceae"
"3666","Chimborazoa lachnocarpa","Chimborazoa","Sapindaceae"
"3667","Chimonanthus campanulatus","Chimonanthus","Calycanthaceae"
"3668","Chimonobambusa angustifolia","Chimonobambusa","Poaceae"
"3669","Chimonocalamus dumosus","Chimonocalamus","Poaceae"
"3670","Chingia acutidens","Chingia","Aspleniaceae"
"3671","Chiococca alba","Chiococca","Rubiaceae"
"3672","Chiogenes hispidula","Chiogenes","Euphorbiaceae"
"3673","Chionachne biaurita","Chionachne","Poaceae"
"3674","Chionanthus acuminigerus","Chionanthus","Cactaceae"
"3675","Chione lucida","Chione","Amaryllidaceae"
"3676","Chionocharis hookeri","Chionocharis","Boraginaceae"
"3677","Chionochloa acicularis","Chionochloa","Poaceae"
"3678","Chionodoxa forbesii","Chionodoxa","Asparagaceae"
"3679","Chionogentias antarctica","Chionogentias","Gentianaceae"
"3680","Chionographis chinensis","Chionographis","Melanthiaceae"
"3681","Chionohebe ciliolata","Chionohebe","Plantaginaceae"
"3682","Chionolaena adpressifolia","Chionolaena","Asteraceae"
"3683","Chionoloma bombayense","Chionoloma","Selaginellaceae"
"3684","Chionopappus benthamii","Chionopappus","Asteraceae"
"3685","Chionophila jamesii","Chionophila","Cyperaceae"
"3686","Chionostomum rostratum","Chionostomum","Ericaceae"
"3687","Chionothrix latifolia","Chionothrix","Amaranthaceae"
"3688","Chiranthodendron pentadactylon","Chiranthodendron","Malvaceae"
"3689","Chirita alba","Chirita","Gesneriaceae"
"3690","Chiritopsis bipinnatifida","Chiritopsis","Gesneriaceae"
"3691","Chironia albiflora","Chironia","Gentianaceae"
"3692","Chiropetalum anisotrichum","Chiropetalum","Euphorbiaceae"
"3693","Chisocheton acariianthus","Chisocheton","Meliaceae"
"3694","Chitalpa tashkentensis","Chitalpa","Bignoniaceae"
"3695","Chitonia acuminata","Chitonia","Melanthiaceae"
"3696","Chlaenandra ovata","Chlaenandra","Menispermaceae"
"3697","Chlaenosciadium gardneri","Chlaenosciadium","Apiaceae"
"3698","Chlamydacanthus dichrostachyus","Chlamydacanthus","Acanthaceae"
"3699","Chlamydocardia buettneri","Chlamydocardia","Acanthaceae"
"3700","Chlamydocarya klaineana","Chlamydocarya","Icacinaceae"
"3701","Chlamydocola chlamydantha","Chlamydocola","Malvaceae"
"3702","Chlamydogramme elata","Chlamydogramme","Polypodiaceae"
"3703","Chlamydophora tridentata","Chlamydophora","Polypodiaceae"
"3704","Chlamydophytum aphyllum","Chlamydophytum","Balanophoraceae"
"3705","Chlamydostachya spectabilis","Chlamydostachya","Acanthaceae"
"3706","Chlidanthus fragrans","Chlidanthus","Amaryllidaceae"
"3707","Chloanthes coccinea","Chloanthes","Lamiaceae"
"3708","Chloracantha spinosa","Chloracantha","Arecaceae"
"3709","Chloraea alpina","Chloraea","Orchidaceae"
"3710","Chloranthelia denticulata","Chloranthelia",NA
"3711","Chloranthus angustifolius","Chloranthus","Apiaceae"
"3712","Chlora perfoliata","Chlora","Gentianaceae"
"3713","Chloris amethystea","Chloris","Orchidaceae"
"3714","Chlorocalymma cryptacanthum","Chlorocalymma","Poaceae"
"3715","Chlorocardium rodiei","Chlorocardium","Araceae"
"3716","Chlorocharis geniculata","Chlorocharis","Cyperaceae"
"3717","Chlorocrambe hastata","Chlorocrambe","Brassicaceae"
"3718","Chlorocrepis staticifolia","Chlorocrepis","Asteraceae"
"3719","Chlorocyathus lobulata","Chlorocyathus","Apocynaceae"
"3720","Chlorocyperus eragrostis","Chlorocyperus","Cyperaceae"
"3721","Chlorogalum angustifolium","Chlorogalum","Asparagaceae"
"3722","Chloroleucon acacioides","Chloroleucon","Polygonaceae"
"3723","Chlorophora cuspicata","Chlorophora","Loranthaceae"
"3724","Chlorophytum acutum","Chlorophytum","Asparagaceae"
"3725","Chloropyron maritimum","Chloropyron","Orobanchaceae"
"3726","Chlorospatha amalfiensis","Chlorospatha","Araceae"
"3727","Chloroxylon faho","Chloroxylon","Meliaceae"
"3728","Choerospondias axillaris","Choerospondias","Anacardiaceae"
"3729","Choisya arizonica","Choisya","Rutaceae"
"3730","Chomelia albicaulis","Chomelia","Aquifoliaceae"
"3731","Chondodendron platiphylla","Chondodendron",NA
"3732","Chondrilla acantholepis","Chondrilla","Asteraceae"
"3733","Chondriolejeunea pseudostipulata","Chondriolejeunea",NA
"3734","Chondrodendron aemulum","Chondrodendron","Menispermaceae"
"3735","Chondropetalum acockii","Chondropetalum","Solanaceae"
"3736","Chondrophora virgata","Chondrophora","Asteraceae"
"3737","Chondropyxis halophila","Chondropyxis","Asteraceae"
"3738","Chondrorhyncha albicans","Chondrorhyncha","Orchidaceae"
"3739","Chondroscaphe atrilinguis","Chondroscaphe","Orchidaceae"
"3740","Chondrosium eriopodum","Chondrosium",NA
"3741","Chondrostylis kunstleri","Chondrostylis","Euphorbiaceae"
"3742","Chondrosum barbatum","Chondrosum","Poaceae"
"3743","Chonecolea andina","Chonecolea",NA
