source,site_id,lat,long,family,genus,species,sp,mode,color_desc,habit,fruit_length
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,multilicius,Rubus multilicius,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,allegheniensis var neoscoticus,Rubus allegheniensis var neoscoticus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,allegheniensis var plausus,Rubus allegheniensis var plausus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,allegheniensis var gravesii,Rubus allegheniensis var gravesii,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,alumnus,Rubus alumnus,endo,black,,17.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,ravus,Rubus ravus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,glandicaulis,Rubus glandicaulis,endo,black,,11.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,jugosus,Rubus jugosus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,floricomus,Rubus floricomus,endo,black,,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,amnicola,Rubus amnicola,endo,black,,15
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,facetus,Rubus facetus,endo,black,,22.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,avipes,Rubus avipes,endo,black,,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,pensilvanicus,Rubus pensilvanicus,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,barbarus,Rubus barbarus,endo,black,,7.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,recurvans,Rubus recurvans,endo,black,,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Dalibarda,repens,Dalibarda repens,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,setigera,Rosa setigera,endo,red,climber,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,multiflora,Rosa multiflora,endo,red,shrub,8
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,nitida,Rosa nitida,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,virginiana,Rosa virginiana,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,carolina,Rosa carolina,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,rugosa,Rosa rugosa,endo,red,,25
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,johannensis,Rosa johannensis,endo,red,shrub,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,acicularis,Rosa acicularis,endo,unknown,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rosa,blanda,Rosa blanda,endo,unknown,shrub,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,maritima,Prunus maritima,endo,black,shrub,19
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,americana,Prunus americana,endo,red,shrub,25
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,nigra,Prunus nigra,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,persica,Prunus persica,endo,unknown,tree,45
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,susquehanae,Prunus susquehanae,endo,unknown,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,depressa,Prunus depressa,endo,black,shrub,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,pensylvanica,Prunus pensylvanica,endo,red,tree,6
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Prunus,virginiana,Prunus virginiana,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Empetraceae,Empetrum,nigrum,Empetrum nigrum,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Empetraceae,Empetrum,atropurpureum,Empetrum atropurpureum,endo,black,,7
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Empetraceae,Empetrum,eamesii,Empetrum eamesii,endo,red,,4
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Aquifoliaceae,Ilex,laevigata,Ilex laevigata,endo,red,shrub,8.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Aquifoliaceae,Ilex,glabra,Ilex glabra,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Aquifoliaceae,Nemopanthus,mucronata,Nemopanthus mucronata,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rhamnaceae,Rhamnus,alnifolia,Rhamnus alnifolia,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Vitaceae,Parthenocissus,quinquefolia,Parthenocissus quinquefolia,endo,unknown,,6
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Vitaceae,Parthenocissus,inserta,Parthenocissus inserta,endo,unknown,,9
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Vitaceae,Vitis,labrusca,Vitis labrusca,endo,black,climber,20
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Vitaceae,Vitis,riparia,Vitis riparia,endo,unknown,climber,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Vitaceae,Vitis,novae-angliae,Vitis novae-angliae,endo,black,climber,14.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Elaeagnaceae,Shepherdia,canadensis,Shepherdia canadensis,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,canadensis,Cornus canadensis,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,florida,Cornus florida,endo,red,shrub,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,stolonifera,Cornus stolonifera,endo,white,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,rugosa,Cornus rugosa,endo,blue,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,amomum,Cornus amomum,endo,blue,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,obliqua,Cornus obliqua,endo,blue,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,alternifolia,Cornus alternifolia,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Cornaceae,Cornus,racemosa,Cornus racemosa,endo,white,shrub,6
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ericaceae,Gaultheria,procumbens,Gaultheria procumbens,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ericaceae,Gaultheria,hispidula,Gaultheria hispidula,endo,white,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ericaceae,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,endo,red,shrub,5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ericaceae,Gaylussacia,dumosa var. bigloviana,Gaylussacia dumosa var. bigloviana,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ericaceae,Gaylussacia,baccata,Gaylussacia baccata,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ericaceae,Vaccinium,uliginosum,Vaccinium uliginosum,endo,blue,,NA
