sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Petalochilus alatus,herb,seed,minute,,,wind,,,,wind
Petalochilus bartlettii,herb,seed,minute,,,wind,,,,wind
Petalochilus chlorostylus,herb,seed,minute,,,wind,,,,wind
Petalochilus minor agg.,herb,seed,minute,,,wind,,,,wind
Petalochilus nothofageti,herb,seed,minute,,,wind,,,,wind
Phormium  ,herb,seed,winged,"""   """,,wind,granivory,,,wind
Phormium  ,herb,seed,winged,"""   """,,wind,granivory,,,wind
Phormium cookianum,herb,seed,winged,"""   """,,wind,granivory,,,wind
Phormium tenax,herb,seed,winged,"""   """,,wind,granivory,,,wind
Phyllachne clavigera,herb,capsule,,"see Carlquist , Wagstaff and Wege ",,wind,capsule,invertebrate,,wind
Phyllachne rubra,herb,capsule,,"""   """,,wind,capsule,invertebrate,,wind
Phyllocladus  ,shrub,seed,arillate,cone fleshy. See Molloy ,frugivory ,frugivory,,,,endo
Phyllocladus alpinus,tree,seed,arillate,"""   ""","""   """,frugivory,,,,endo
Phyllocladus toatoa,tree,seed,arillate,"""   ""","""   """,frugivory,,,,endo
Phyllocladus trichomanoides,tree,seed,arillate,"""   ""","""   """,frugivory,,,,endo
Phylloglossum drummondii,fern ally,spore,minute,"""   """,-1974,wind,,,,wind
Picris angustifolia,herb,cypsela,pappate,"stalk, caducous, wind dispersed, some cypsela may",,wind,,,,wind
Picris burbidgeae,herb,cypsela,pappate,"""   """,,wind,,,,wind
Pilularia novae-zelandiae,fern,megaspore,minute,"""   ""","released by decay, can take",water,attachment,,,water
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea  ,shrub,achene,hairy,"""   ""","""   """,wind,ant,,,wind
Pimelea  ,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea  ,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea  ,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea  ,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea  ,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea  ,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea   agg.,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea actea,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea arenaria,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea aridula,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea buxifolia,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea concinna,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea crosby-smithiana,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea gnidia,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea longifolia,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea lyallii,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea microphylla,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea oreophila,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea poppelwellii,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea prostrata agg.,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea pseudolyallii,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea pulvinaris,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pimelea sericeovillosa,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea suteri,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea telura,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea tomentosa,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pimelea traversii,shrub,achene,dry,"""   ""","""   """,wind,ant,,,wind
Pisonia brunoniana,tree,fruit,viscid,perianth viscid ,"Razi 1950, van der Pijl",attachment,,,,attach
Pittosporum anomalum,shrub,seed,,"""   "", seed enclosed in papery endocarp","""   """,wind,,,,wind
Pittosporum cornifolium,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum crassifolium,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum dallii,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum divaricatum,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum ellipticum,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum eugenioides,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum fairchildii,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum kirkii,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum obcordatum,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum patulum,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum pimeleoides,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum ralphii,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum rigidum,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum tenuifolium,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum turneri,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum umbellatum,tree,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Pittosporum virgatum,shrub,seed,viscid,"""   ""","""   """,frugivory,attachment,water,,endo
Plagianthus divaricatus,shrub,carpel,,,,mobile,water,,,unassisted
Plagianthus regius,tree,carpel,detaching,"""   """,,mobile,water,,,unassisted
Plantago  ,herb,seed,viscid,"seed mucilaginous when wet. See Sykes ,","1930, Razi 1950, Carlquist",attachment,wind,water,granivory,attach
Plantago  ,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago aucklandica,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago lanigera,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago masoniae,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago novae-zelandiae,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago obconica,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago raoulii,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago spathulata,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago triandra,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago triantha,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plantago uniflora,herb,seed,viscid,"""   ""","""   """,attachment,wind,water,granivory,attach
Plectranthus parviflorus,herb,seed,,testa glossy,,wind,attachment,,,wind
Pleurophyllum criniferum,herb,cypsela,pappate,cypsela body hairy,,wind,,,,wind
Pleurophyllum hookeri,herb,cypsela,pappate,"""   """,,wind,,,,wind
Pleurophyllum speciosum,herb,cypsela,pappate,"""   """,,wind,,,,wind
Pleurosorus rutifolius,fern,spore,minute,"""   """,spore with inflated outer,wind,,,,wind
Plumatochilos tasmanicum,herb,seed,minute,,,wind,,,,wind
Pneumatopteris pennigera,fern,spore,minute,"""   """,,wind,,,,wind
Poa  ,herb,floret,,lemma and callus hairy or not. See Spence ,,wind,water,attachment,,wind
Poa  ,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa  ,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa  ,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa acicularifolia,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa anceps,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa antipoda,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa astonii,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa aucklandica,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa breviglumis,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa buchananii,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa celsa,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa chathamica,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa cita,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa cockayneana,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa colensoi,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa cookii,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa dipsacea,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa foliosa,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa hesperia,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa imbecilla,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa incrassata,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa intrusa,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa kirkii,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa lindsayi,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa litorosa,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa maia,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa maniototo,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa matthewsii,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa novae-zelandiae,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa polyphylla,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa pusilla,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa pygmaea,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa ramosissima,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa schistacea,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa spania,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa sublimis,herb,floret,"""","""","""",wind,water,attachment,,wind
Poa subvestita,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Poa sudicola,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Poa tennantiana,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Poa tonsa,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Poa xenica,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Podocarpus  ,tree,seed,arillate,cone bracts swollen,"Armesto and Rozzi 1989,",frugivory,,,,endo
Podocarpus acutifolius,tree,seed,arillate,"""   ""","""   """,frugivory,,,,endo
Podocarpus hallii,tree,seed,arillate,"""   ""","""   """,frugivory,,,,endo
Podocarpus nivalis,shrub,seed,arillate,"""   ""","""   """,frugivory,,,,endo
Podocarpus totara,tree,seed,arillate,"""   ""","""   """,frugivory,,,,endo
Polygonum plebeium,herb,cup,,perianth persistent and dry,to be attached in mud,wind,,,,wind
Polystichum cystostegia,fern,spore,minute,"""   """,wind ,wind,,,,wind
Polystichum neozelandicum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Polystichum oculatum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Polystichum silvaticum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Polystichum vestitum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Polystichum wawranum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Pomaderris ,shrub,seed,arillate,dehiscent coccus in dehiscent capsule. Ant dispersed,"1975, Benson and",ant,,,,ant
Pomaderris apetala,shrub,seed,arillate,"""   ""","""   """,ant,,,,ant
Pomaderris edgerleyi,shrub,seed,arillate,"""   ""","""   """,ant,,,,ant
Pomaderris hamiltonii,shrub,seed,arillate,"""   ""","""   """,ant,,,,ant
Pomaderris kumeraho,shrub,seed,arillate,"""   ""","""   """,ant,,,,ant
Pomaderris paniculosa,shrub,seed,arillate,"""   ""","""   """,ant,,,,ant
Pomaderris phylicifolia,shrub,seed,arillate,"""   ""","""   """,ant,,,,ant
Pomaderris rugosa,shrub,seed,arillate,"""   ""","""   """,ant,,,,ant
Poranthera microphylla,herb,seed,,non-arillate,,wind,,,,wind
Potamogeton cheesemanii,herb,achene,keeled,"der Walk 2002, Boedeltje et",,water,granivory,,,water
Potamogeton ochreatus,herb,achene,"""   """,,"""   """,water,granivory,,,water
Potamogeton suboblongus,herb,achene,"""   """,,"""   """,water,granivory,,,water
Potentilla anserinoides,herb,achene,,"hypanthium dry and spongy, achene testa papillate",gyrmochory ,water,wind,,,water
Pouteria costata,tree,berry,fleshy,"seed v. hard, smooth, linear, moves downslope easily","Snow 1981, Benson and",frugivory,gravity,,,endo
Prasophyllum  ,herb,,,"""   """,,wind,,,,wind
Prasophyllum  ,herb,seed,minute,dispersed ,,wind,,,,wind
Prasophyllum colensoi,herb,seed,minute,"""   """,,wind,,,,wind
Prasophyllum hectorii,herb,seed,minute,"""   """,,wind,,,,wind
Prumnopitys ferruginea,tree,drupe,fleshy,mesocarp fleshy. Fruit details in Mill et al. ,Fruit details in Mill et al.,frugivory,,,,endo
Prumnopitys taxifolia,tree,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudognaphalium  ,herb,cypsela,pappate,pappus caducous. Wind dispersed ,"attachment ,",wind,attachment,,,wind
Pseudognaphalium  ,herb,cypsela,pappate,"""   ""","""   """,wind,attachment,,,wind
Pseudognaphalium  ,herb,cypsela,pappate,"""   ""","""   """,wind,attachment,,,wind
Pseudognaphalium  ,herb,cypsela,pappate,"""   ""","""   """,wind,attachment,,,wind
Pseudognaphalium  ,herb,cypsela,pappate,"""   ""","""   """,wind,attachment,,,wind
Pseudopanax  ,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax  ,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax arboreus,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax chathamicus,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax colensoi,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax crassifolius,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax discolor,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax ferox,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax gilliesii,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax kermadecensis,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax laetus,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax lessonii,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax linearis,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudopanax macintyrei,tree,baccate,fleshy,"""   ""","""   """,frugivory,,,,endo
Pseudowintera axillaris,shrub,berry,fleshy,See Heenan and de Lange ,,frugivory,,,,endo
Pseudowintera colorata,shrub,berry,fleshy,"""   """,,frugivory,,,,endo
Pseudowintera insperata,shrub,berry,fleshy,"""   """,,frugivory,,,,endo
Pseudowintera traversii,shrub,berry,fleshy,"""   """,,frugivory,,,,endo
Psilotum nudum,fern ally,spore,minute,"""   """,,wind,,,,wind
Psychrophila novae-zelandiae,herb,seed,,testa glossy,"Salisbury 1976, Melcher et",water,,,,water
Psychrophila obtusa,herb,seed,,"""   ""","""   """,water,,,,water
Pteridium esculentum,fern,spore,minute,"""   "", wind ",see Conway ,wind,,,,wind
Pteris  ,fern,spore,minute,"""   """,allowing reproduction,wind,,,,wind
Pteris macilenta,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Pteris pendula,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Pteris tremula,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Pteris vittata,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Pterostylis  ,herb,seed,minute,Parks and Wildlife Service,,wind,,,,wind
Pterostylis  ,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis  ,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis agathicola,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis areolata,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis auriculata,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis australis,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis banksii,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis cardiostigma,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis cernua,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis foliata,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis graminea agg.,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis humilis,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis irsoniana,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis irwinii,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis micromega,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis montana,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis nutans,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis oliveri,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis paludosa,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis patens,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis porrecta,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis silvicultrix,herb,seed,minute,"""   """,,wind,,,,wind
Pterostylis venosa,herb,seed,minute,"""   """,,wind,,,,wind
Puccinellia antipoda,herb,floret,,,,water,wind,,,water
Puccinellia macquariensis,herb,floret,"""   ""","""   """,,water,wind,,,water
Puccinellia raroflorens,herb,floret,"""   ""","""   """,,water,wind,,,water
Puccinellia stricta,herb,floret,"""   ""","""   """,,water,wind,,,water
Puccinellia walkeri,herb,floret,"""   ""","""   """,,water,wind,,,water
Puccinellia walkeri,herb,floret,"""   ""","""   """,,water,wind,,,water
Pyrrhanthera exigua,herb,floret,lemma and palea pubescent/scabrid,,,wind,,,,wind
Pyrrosia eleagnifolia,fern,spore,minute,"""   """,with inflated outer layer,wind,,,,wind
Quintinia serrata,tree,seed,,testa reticulate,,wind,,,,wind
Rachelia glaria,herb,cypsela,pappate,pappus caducous,,wind,,,,wind
Ranunculus  ,herb,achene,,.  See Wilson and Garn.-Jones .,", Cappers",granivory,attachment,,,cache
Ranunculus  ,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus  ,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus  ,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus  ,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus acaulis,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus acraeus,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus altus,herb,achene,,terrestrial. See Wilson and Garn.-Jones ,"""   """,granivory,attachment,,,cache
Ranunculus amphitrichus,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus berggrenii,herb,achene,,"achene compressed, beak curved to minute, plants","""   """,granivory,attachment,,,cache
Ranunculus biternatus,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus brevis,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus buchananii,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus cheesemanii,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus crithmifolius,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus enysii,herb,achene,,terrestrial. See Wilson and Garn.-Jones ,"""   """,granivory,attachment,,,cache
Ranunculus foliosus,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus glabrifolius,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus godleyanus,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus gracilipes,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus grahamii,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus haastii,herb,achene,,"""   ""","""   """,wind,attachment,,,wind
Ranunculus insignis,herb,achene,,"NI plants hairy achene, SI glabrous","""   """,wind,attachment,,,wind
Ranunculus kirkii,herb,achene,,terrestrial. See Wilson and Garn.-Jones ,"""   """,granivory,attachment,,,cache
Ranunculus limosella,herb,achene,,margin corky,"""   """,water,,,,water
Ranunculus lyallii,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus macropus,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus maculatus,herb,achene,,"""   ""","""   """,water,,,,water
Ranunculus membranifolius,herb,achene,,,"""   """,granivory,attachment,,,cache
Ranunculus mirus,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus multiscapus,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus nivicola,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus pachyrrhizus,herb,achene,,"""   ""","""   """,wind,attachment,,,wind
Ranunculus pinguis,herb,achene,,"""   ""","""   """,wind,attachment,,,wind
Ranunculus ranceorum,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus recens,herb,achene,,"""   ""","""   """,water,,,,water
Ranunculus reflexus,herb,achene,,terrestrial. See Wilson and Garn.-Jones ,"""   """,granivory,attachment,,,cache
Ranunculus royi,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus scrithalis,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus sericophyllus,herb,achene,,"""   ""","""   """,wind,attachment,,,wind
Ranunculus simulans,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus stylosus,herb,achene,,"achene compressed, beak curved to minute, plants","""   """,granivory,attachment,,,cache
Ranunculus subscaposus,herb,achene,,"""   ""","""   """,granivory,attachment,,,cache
Ranunculus ternatifolius,herb,achene,,"achene small, unspecialised","""   """,water,,,,water
Ranunculus urvilleanus,herb,achene,,"""   ""","""   """,water,,,,water
Ranunculus verticillatus,herb,achene,,"achene beak elongated, achene hairy","""   """,wind,attachment,,,wind
Ranunculus viridis,herb,achene,,"""   ""","""   """,wind,attachment,,,wind
Raoulia  ,herb,cypsela,pappate,"on cypsela and sparse 1-seried pappus, R. cinerea",,wind,,,,wind
Raoulia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia albosericea,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia apicinigra,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia beauverdii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia bryoides,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia buchananii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia cinerea,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia eximia,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia glabra,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia goyenii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia grandiflora,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia haastii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia hectorii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia hookeri,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia mammillaris,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia monroi,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia parkii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia petriensis,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia rubra,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia subsericea,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia subulata,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia tenuicaulis,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raoulia youngii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Raukaua anomalus,tree,baccate,fleshy,"""   """,,frugivory,,,,endo
Raukaua edgerleyi,tree,baccate,fleshy,"""   """,,frugivory,,,,endo
Raukaua simplex,tree,baccate,fleshy,"""   """,,frugivory,,,,endo
Rhabdothamnus solandri,shrub,seed,,testa reticulate,,wind,,,,wind
Rhopalostylis  ,tree,drupe,fleshy,,,frugivory,,,,endo
Rhopalostylis baueri,tree,drupe,fleshy,,,frugivory,,,,endo
Rhopalostylis sapida,tree,drupe,fleshy,,,frugivory,,,,endo
Ripogonum scandens,vine,berry,fleshy,pericarp fleshy,frugivory ,frugivory,,,,endo
Rorippa divaricata,herb,seed,,mucilaginous and sticky . R. paulstris,water ,attachment,ballistic,water,,attach
Rorippa palustris,herb,seed,,"""   ""","""   """,attachment,ballistic,water,,attach
Rostkovia magellanica,herb,seed,,testa air filled ,water ,water,wind,,,water
Rubus australis,vine,berry,fleshy,,"""   """,frugivory,,,,endo
Rubus cissoides,vine,berry,fleshy,,"""   """,frugivory,,,,endo
Rubus parvus,vine,berry,fleshy,,"""   """,frugivory,,,,endo
Rubus schmidelioides,vine,berry,fleshy,,"""   """,frugivory,,,,endo
Rubus squarrosus,vine,berry,fleshy,,"""   """,frugivory,,,,endo
Rumex flexuosus,herb,cup,,perianth persistent and dry,"McDougall 1999, Melcher",water,wind,attachment,,water
Rumex neglectus,herb,cup,,"""   ""","""   """,water,wind,attachment,,water
Rumohra adiantiformis,fern,spore,minute,"""   """,,wind,,,,wind
Ruppia megacarpa,herb,achene,,spiralling long peduncle,", water",water,granivory,,,water
Ruppia polycarpa,herb,achene,,"""   ""","""   """,water,granivory,,,water
Rytidosperma australe,herb,floret,"+/- hairy. Wind , water ",attachment ,,wind,water,attachment,,wind
Rytidosperma biannulare,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma buchananii,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma clavatum,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma corinum,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma gracile,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma horrens,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Rytidosperma maculatum,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma merum,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
